abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
hs_pre14	heparan sulfate, precursor 14	C79H115N5O95S10X	-11	Golgi Apparatus			2303006	2	
oh1	hydroxide ion	HO	-1	Extra-organism, Cytosol, Mitochondria	C01328		37371	2,6	
o16a2und	(O16 antigen)x2 undecaprenyl diphosphate	C123H200N2O57P2	-2	Periplasm			2377475	5	
o16a4colipa	(O16 antigen)x4 core oligosaccharide lipid A	C312H523N6O200P4	-11	Extra-organism, Periplasm			2377506	5	
cs_d	chondroitin sulfate D (GlcNAc6S-GlcA2S), free chain	C45H65N2O52S5	-7	Lysosome			2415879	2	
ksi_deg1	keratan sulfate I, degradation product 1	C241H383N17O209S12X	-13	Extra-organism, Lysosome			2416915	2	
ksi_deg27	keratan sulfate I, degradation product 27	C104H169N7O88S4	-4	Lysosome			2416934	2	
apoC	Apocarboxlase (no lys residue)	XH	0	Cytosol, Mitochondria			2421372	2	
3odecACP	3-Oxodecanoyl-[acyl-carrier protein]	C21H37N2O9PRS	-1	Cytosol	C05753	7783-08-6	46416	4,5	
dsbaox	periplasmic protein disulfide isomerase I (oxidized)	X	0	Periplasm			2703931	5	
ebastineoh	hydroxylated ebastine	C32H39NO3	0	Extra-organism, Cytosol, Endoplasmic Reticulum			2299767	2	
motre	maltooligosyltrehalose	C42H72O36	0	Cytosol			3201362	10	
dna	DNA	C10H17O8PR2	0	Cytosol, Nucleus	C00039		2217500	2,4	
oxalc	4-oxalocrotonate	C6H4O5	-2	Cytosol	C03453	59-85-8	41878	4	
uaaAgla	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine	C94H153N8O26P2	-3	Cytosol	C05889		46765	10	
Dara14lac	D-Arabinono-1,4-lactone	C5H8O5	0	Cytosol	C00652	2782-09-4	35619	6	
cmusa	2-Amino-3-carboxymuconate semialdehyde	C7H6NO5	-1	Cytosol	C04409		1445617	2,6	
ipc224_SC	Inositol phosphorylceramide, ceramide-2 (24C), yeast-specific	C4800H9500N100O1200P100	-100	Cytosol			1454228	6	
all6p	D-Allose 6-phosphate	C6H11O9P	-2	Cytosol	C02962	147-94-4	40909	5	
3hdggpg	2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol-1-phospho-3'-sn-glycerol	C46H80O9P1	-1	Cytosol			1842477	9	
dhp23cp	7,8-dihydronepterin 2' :3'-cyclicphosphate	C9H11N5O6P	-1	Cytosol			1885147	9	
seasmet	Se-Adenosylselenomethionine	C15H23N6O5Se	1	Cytosol, Nucleus	C05691	4408-78-0	46296	2,4	
adhap_hs	acyl-dihydroxyacetone phosphate	C3H4O6PFULLRCO	-2	Peroxisome, Cytosol			2220549	2	
gm1a_hs	GM1alpha (homo sapiens)	C55H95N3O30FULLRCO	-1	Golgi Apparatus			2266551	2	
oagt3_hs	9-O-Acetylated GT3 (homo sapiens)	C65H106N4O37FULLRCO	-3	Extra-organism, Golgi Apparatus, Cytosol			2289933	2	
ksi_pre11	keratan sulfate I biosynthesis, precursor 11	C129H208N9O101S3X	-4	Golgi Apparatus			2296824	2	
tolbutamide	tolbutamide	C12H18N2O3S	0	Extra-organism, Cytosol			2299988	2	
hs	heparan sulfate, free chain	C79H114N5O102S12	-13	Lysosome			2304623	2	
limnen	Limonene	C10H16	0	Extra-organism, Cytosol	C06078	598-35-6	47361	2	
ksi_deg33	keratan sulfate I, degradation product 33	C76H125N5O62S2	-2	Lysosome			2416936	2	
apoC-Lys_btn	Holocarboxylase (biotin covalent bound to Lys residue of apoC)	C16H27N4O3SX	0	Cytosol, Mitochondria			2421326	2	
htaxol	hydroxylated taxol	C47H31NO15	0	Extra-organism, Cytosol			2299804	2	
peptido_TB1	peptidoglycan subunit (for Mycobacterium tuberculosis)	C39H63N8O19	-1	Cytosol			3134899	10	
4cmcoa	4-Coumaroyl-CoA	C30H38N7O18P3S	-4	Cytosol	C00223	None	34304	4	
oxadpcoa	3-Oxoadipyl-CoA	C27H37N7O20P3S	-5	Cytosol	C02232		1800358	4	
omaketo	4-oxalomesaconate (keto form)	C7H3O7	-3	Cytosol	C05364	302-01-2	45664	4	
R-3hdcoa	(R)-Hydroxydecanoyl-CoA	C31H50N7O18P3S	-4	Cytosol			3436777	4	
cer1_26	Ceramide-1 (Sphinganine:n-C26:0)	C44H89NO3	0	Cytosol			1454106	6	
apg_EC	acyl phosphatidylglycerol (E.coli)	C2829H5272O550P50	-50	Cytosol			1484488	1	
mh4spt	N5-methyl-tetrahydrosarcinapterin	C36H50N7O19P1	-4	Cytosol			1800331	9	
m6masnA	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C58H97N2O45X	0	Golgi Apparatus			1822944	2	
allul6p	Allulose 6-phosphate	C6H11O9P	-2	Cytosol	C18096		1837836	5	
7mht	7-mercaptoheptanoylthreonine	C11H20NO4S	-1	Cytosol			1886169	9	
f420-7	coenzyme ferredoxin 420-7	C54H62N10O33P	-9	Cytosol			1897957	9	
dkmp	6-deoxy-5-ketomannitol 1-phosphate	C6H11O8P	-2	Cytosol			1898597	9	
xol7ah	7alpha-Hydroxy-5beta-cholestan-3-one	C27H46O2	0	Cytosol	C05451	67-97-0	45839	2	
bamppald	beta-Aminopropion aldehyde	C3H8NO	1	Cytosol, Mitochondria	C05665	608-07-1	46232	2	
vacccoa	vaccenyl coenzyme A	C39H64N7O17P3S	-4	Cytosol, Mitochondria			2218408	2	
2dpmhobq	2-Decaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	C58H88O4	0	Mitochondria			2267627	2	
emem2gacpail_hs	(phosphoethanolaminyl-mannosyl),(phosphoethanolaminyl)-dimannosyl-glucosaminyl-acylphosphatidylinositol (H7')	C53H100N3O35P3FULLRCO2FULLR2CO2	0	Endoplasmic Reticulum			2288941	2	
cs_a,b_pre3	chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 3	C45H67N2O42S2X	-4	Golgi Apparatus			2300733	2	
phphhlipa	phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	C131H230N2O63P4	-10	Cytosol			2374930	5	
o16a4und	(O16 antigen)x4 undecaprenyl diphosphate	C191H310N4O107P2	-2	Periplasm			2377483	5	
aso4	arsenate	AsO4	-3	Cytosol	C01478	7778-39-4	37686	5	
ps141	phosphatidylserine (ditetradec-7-enoyl, n-C14:1)	C34H61N1O10P1	-1	Cytosol	C02737		2618002	5	
chsterols	cholesterol sulfate	C27H45O4S	-1	Cytosol, Endoplasmic Reticulum			2705326	2	
1agpg161	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H42O9P1	-1	Periplasm	C18126		2733772	5	
4hbzACP	4-hydroxybenzoyl ACP	C18H25N2O9PRS	-1	Cytosol			2999472	10	
scys-L	S-Sulfo-L-cysteine	C3H6NO5S2	-1	Cytosol	C05824	63-37-6	46578	4	
pqqh2	Reduced pyrroloquinoline-quinone	C14H5N2O8	-3	Cytosol	C01359	9013-95-0	37429	4	
thglu	Tetrahydropteroyltri-L-glutamate	C24H32N8O12	-2	Cytosol	C04144		3248799	4	
2hchd	2-Hydroxy-cis-hex-2,4-dienoate	C6H7O3	-1	Cytosol			3462446	4	
pg_HP	Phosphatidylglycerol Hp specific	C39H74O10P	-1	Cytosol			1441016	3	
3hacoa	(S)-3-Hydroxyacyl-CoA	C24H35N7O18P3RS	-4	Peroxisome	C00640		35592	6	
2omph	2-Octaprenyl-6-methoxyphenol	C47H72O2	0	Cytosol	C05812		46550	1,5	
ipc324_SC	Inositol phosphorylceramide, ceramide-3 (24C), yeast-specific	C4800H9500N100O1300P100	-100	Cytosol			1454194	6	
mipc224_SC	mannose-inositol phosphorylceramide, ceramide-2 (24C), yeast-specific	C5400H10500N100O1700P100	-100	Cytosol			1454319	6	
m2macchitppdol	(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol	C49H84N2O32P2	-2	Golgi Apparatus	C05862		1456656	6	
man6pglyc	2(alpha-D-Mannosyl-6-phosphate)-D-glycerate	C9H14O12P	-3	Cytosol	C16699		1771713	5	
f420-2h2	coenzyme ferredoxin 420-2 (reduced)	C29H34O18N5P1	-4	Cytosol			1800342	9	
m1mpdol_L	alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human liver homolog	C1360H2228N20O270P20	-20	Cytosol			1809502	2	
m6masnB2	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C58H97N2O45X	0	Golgi Apparatus			1822946	2	
sT_antigen	sialyl-T antigen	C25H40N2O18X	-1	Golgi Apparatus			1885367	2	
mmeroacidACP	methoxy meroacid ACP	C67H127N2O8PRS	-1	Cytosol			2233602	10	
mmtsa	(S)-Methylmalonate semialdehyde	C4H5O3	-1	Cytosol	C06002	598-35-6	47180	4	
pecgoncoa	Pseudoecgonyl-CoA	C30H46N8O18P3S	-3	Endoplasmic Reticulum			2282543	2	
eca3und	(enterobacterial common antigen)x3 undecaprenyl-diphosphate	C127H198N9O52P2	-5	Periplasm			2377324	5	
ksi_deg5	keratan sulfate I, degradation product 5	C222H356N15O194S11	-11	Lysosome			2416919	2	
ha_deg1	hyaluronan degradation product 1	C22H33N2O16	-1	Lysosome			2418548	2	
galacgalfuc12gal14acglcgalgluside_hs	(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	C64H112N3O36FULLRCO	0	Golgi Apparatus			2419398	2	
pg140	Phosphatidylglycerol (ditetradecanoyl, n-C14:0)	C34H66O10P1	-1	Cytosol, Periplasm	C00344		2617830	5	
mharab-D	mannose capped hexa arabinofuranoside	C48H80O40	0	Cytosol			2975753	10	
3mcat	3-Methylcatechol	C7H8O2	0	Cytosol	C02923	488-17-5	40830	4	
dhap	Dihydroxyacetone phosphate	C3H5O6P	-2	Peroxisome, Cytosol, Mitochondria	C00111	57-04-5	33898	1,10,2,3,4,5,6,7,8,9	
g6p	D-Glucose 6-phosphate	C6H11O9P	-2	Extra-organism, Cytosol, Endoplasmic Reticulum, Periplasm	C00092	56-73-5	36977	1,10,2,3,4,5,6,7,8,9	
nadh	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	-2	Peroxisome, Cytosol, Endoplasmic Reticulum, Mitochondria	C00004	58-68-4	33484	1,10,2,3,4,5,6,7,8,9	
co2	CO2	CO2	0	Peroxisome, Extra-organism, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Nucleus, Vacuole, Periplasm, Mitochondria	C00011	124-38-9	33506	1,10,2,3,4,5,6,7,8,9	
6pgl	6-phospho-D-glucono-1,5-lactone	C6H9O9P	-2	Cytosol, Endoplasmic Reticulum	C01236	None	37157	1,10,2,3,4,5,6,7,8,9	
akg	2-Oxoglutarate	C5H4O5	-2	Peroxisome, Extra-organism, Cytosol, Endoplasmic Reticulum, Nucleus, Periplasm, Mitochondria	C00026	328-50-7	33565	1,10,2,3,4,5,6,7,8,9	
succ	Succinate	C4H4O4	-2	Peroxisome, Extra-organism, Cytosol, Endoplasmic Reticulum, Periplasm, Mitochondria	C00042	110-15-6	33633	1,10,2,3,4,5,6,7,8,9	
trdrd	Reduced thioredoxin	XH2	0	Cytosol, Nucleus, Mitochondria	C00342		34677	1,10,2,3,4,5,6,7,9	
trdox	Oxidized thioredoxin	X	0	Cytosol, Nucleus, Mitochondria	C00343		34679	1,10,2,3,4,5,6,7,9	
agm	Agmatine	C5H16N4	2	Extra-organism, Cytosol, Periplasm, Mitochondria	C00179	306-60-5	34153	1,10,2,3,4,5,7,9	
imacp	3-(Imidazol-4-yl)-2-oxopropyl phosphate	C6H7N2O5P	-2	Cytosol	C01267		37231	1,10,4,5,6,7,9	
adn	Adenosine	C10H13N5O4	0	Extra-organism, Cytosol, Periplasm, Mitochondria, Lysosome	C00212	58-61-7	34273	1,10,2,3,4,5,6,7,9	
thf	5,6,7,8-Tetrahydrofolate	C19H21N7O6	-2	Extra-organism, Cytosol, Mitochondria, Lysosome	C00101	135-16-0	33856	1,10,2,3,4,5,6,7,9	
cytd	Cytidine	C9H13N3O5	0	Extra-organism, Cytosol, Nucleus, Periplasm, Mitochondria, Lysosome	C00475	65-46-3	35089	1,10,2,3,4,5,6,7	
gtp	GTP	C10H12N5O14P3	-4	Extra-organism, Cytosol, Nucleus, Periplasm, Mitochondria	C00044	86-01-1	33641	1,10,2,3,4,5,6,7,9	
2dr1p	2-Deoxy-D-ribose 1-phosphate	C5H9O7P	-2	Cytosol	C00672		35664	1,10,2,3,5,6,7,9	
grdp	Geranyl diphosphate	C10H17O7P2	-3	Peroxisome, Cytosol	C00341		34675	1,10,2,3,4,5,6,7,9	
frdp	Farnesyl diphosphate	C15H25O7P2	-3	Peroxisome, Cytosol, Endoplasmic Reticulum	C00448	13058-04-3	35006	1,10,2,3,4,5,6,7,9	
2ahhmd	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate	C7H8N5O8P2	-3	Cytosol, Mitochondria	C04807	70608-72-9	44591	10,3,4,6	
o2	O2	O2	0	Peroxisome, Extra-organism, Cytosol, Endoplasmic Reticulum, Nucleus, Periplasm, Mitochondria	C00007	7782-44-7	33493	1,10,2,3,4,5,6,7,8,9	
ala-B	beta-Alanine	C3H7NO2	0	Extra-organism, Cytosol, Periplasm, Mitochondria	C00099	107-95-9	33848	1,10,2,3,4,5,6,7,9	
hx2coa	trans-Hex-2-enoyl-CoA	C27H40N7O17P3S	-4	Cytosol	C05271		45472	4,5,7	
sdhlam	S-Succinyldihydrolipoamide	C12H20NO4S2	-1	Cytosol, Mitochondria	C01169	None	36971	10,4,6,7	
glx	Glyoxylate	C2H1O3	-1	Peroxisome, Cytosol, Mitochondria	C00048	298-12-4	33659	1,10,2,3,4,5,6,8	
fe3	Fe3+	Fe	3	Extra-organism, Cytosol, Periplasm	C14819	None	50061	10,2,3,5,9	
sertrna	L-Seryl-tRNA(Ser)	C3H6NO2R	1	Cytosol	C02553		52763	4,5,6,7,9	
sbt-D	D-Sorbitol	C6H14O6	0	Extra-organism, Cytosol, Periplasm	C00794	50-70-4	36018	1,2,5,6,7	
glu1sa	L-Glutamate 1-semialdehyde	C5H9NO3	0	Cytosol	C03741	None	42432	1,10,3,4,5,7,9	
glycogen	glycogen	C6H10O5	0	Cytosol	C00182		227233	1,10,5,6,7,9	
ac	Acetate	C2H3O2	-1	Peroxisome, Extra-organism, Golgi Apparatus, Cytosol, Periplasm, Mitochondria	C00033	71-50-1	33590	1,10,2,3,4,5,6,7,8,9	
3ophb	3-Octaprenyl-4-hydroxybenzoate	C47H69O3	-1	Cytosol	C05809		46544	1,3,5	
ara5p	D-Arabinose 5-phosphate	C5H9O8P	-2	Cytosol	C01112		36837	1,3,5	
4hba	4-Hydroxy-benzyl alcohol	C7H8O2	0	Cytosol	C17467		1438178	1,10,3,5,9	
5caiz	5-phosphoribosyl-5-carboxyaminoimidazole	C9H11N3O9P	-3	Cytosol	C15667		1441327	1,10,3,5,7,9	
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H15N4O12P	-4	Cytosol	C04823		44624	1,10,2,3,4,5,6,7,9	
aacoa	Acetoacetyl-CoA	C25H36N7O18P3S	-4	Peroxisome, Cytosol, Mitochondria	C00332	1420-36-6	34646	1,10,2,3,4,5,6,7,9	
na1	Sodium	Na	1	Peroxisome, Extra-organism, Golgi Apparatus, Cytosol, Periplasm	C01330	7440-23-5	37376	1,10,2,3,4,5,6,7,9	
tyrtrna	L-Tyrosyl-tRNA(Tyr)	C9H10NO2R	1	Cytosol, Mitochondria	C02839		52772	4,5,6,9	
chitos	Chitosan	C6H11NO4	0	Cytosol	C00734		35825	6	
13dampp	1,3-Diaminopropane	C3H12N2	2	Cytosol	C00986	109-76-2	36543	2,6	
stcoa	Stearoyl-CoA (n-C18:0CoA)	C39H66N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria	C00412	362-66-3	1451385	10,2,5,6	
pmtcoa	Palmitoyl-CoA (n-C16:0CoA)	C37H62N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria	C00154		34063	10,2,4,5,6,7	
lcts	Lactose	C12H22O11	0	Extra-organism, Golgi Apparatus, Cytosol, Periplasm, Lysosome	C00243	63-42-3	34366	1,10,2,5,7	
ddcacoa	Dodecanoyl-CoA (n-C12:0CoA)	C33H54N7O17P3S	-4	Peroxisome, Cytosol	C01832	6244-92-4	38504	2,4,5,6,7	
ocdcya	octadecadienoate (n-C18:2)	C18H31O2	-1	Extra-organism, Cytosol			1451013	2,6	
2dhguln	2-Dehydro-L-gulonate	C6H9O7	-1	Cytosol	C06473		1482981	1,5	
etha	Ethanolamine	C2H8NO	1	Extra-organism, Cytosol, Periplasm	C00189	141-43-5	34189	1,10,2,5,6,7,9	
ocdcaACP	Octadecanoyl-ACP (n-C18:0ACP)	C29H55N2O8PRS	-1	Cytosol, Mitochondria	C04088		1440358	2,3,4,5,6	
ddca	Dodecanoate (n-C12:0)	C12H23O2	-1	Peroxisome, Extra-organism, Cytosol, Periplasm	C02679	143-07-7	40351	10,2,4,5,6	
sucarg	N2-Succinyl-L-arginine	C10H17N4O5	-1	Cytosol	C03296	1758-80-1	41581	1,10,4,5	
gtspmd	Glutathionylspermidine	C17H36N6O5S	2	Cytosol	C05730	7783-08-6	46368	1,5	
pram	5-Phospho-beta-D-ribosylamine	C5H11NO7P	-1	Cytosol	C03090		41182	1,10,2,3,4,5,6,7,9	
3hpalmACP	R-3-hydroxypalmitoyl-[acyl-carrier protein]	C27H51N2O9PRS	-1	Cytosol	C04633		1572107	3,4,5	
acryl	Acrylate	C3H4O2	0	Cytosol	C00511	79-10-7	35206	3	
formmfr(b)	formylmethanofuran b	C35H43N6O15	-3	Cytosol			1837090	9	
co1dam	Cob(I)yrinate a,c diamide	C45H56CoN6O12	-5	Cytosol	C06505		1808173	10,4,9	
adcobdam	Adenosyl cobyrinate diamide	C55H68CoN11O15	-4	Cytosol	C06506		1787685	10,4,7,9	
ascb-L	L-Ascorbate	C6H8O6	0	Extra-organism, Cytosol, Periplasm	C00072	50-81-7	33747	2,5	
mn	beta-1,4-mannose-N-acetylglucosamine	C14H25NO11	0	Cytosol, Lysosome			1862570	2	
fol	Folate	C19H18N7O6	-1	Extra-organism, Cytosol	C00504	59-30-3	35180	10,2,9	
mobd	Molybdate	MoO4	-2	Extra-organism, Cytosol, Periplasm	C06232		47720	5,7,9	
thbpt	Tetrahydrobiopterin	C9H15N5O3	0	Cytosol, Nucleus	C00272	17528-72-2	34464	2,4	
xtp	XTP	C10H11N4O15P3	-4	Cytosol	C00700		35735	2,5	
glygn1	glycogen, structure 1 (glycogenin-11[1,4-Glc])	C66H111O56X	0	Cytosol			2213909	2	
q10h2	Ubiquinol-10	C59H92O4	0	Cytosol, Mitochondria			1585153	2	
pail45p_hs	phosphatidylinositol 4,5-bisphosphate (Homo sapiens)	C9H14O15P3FULLRCO2FULLR2CO2	-5	Cytosol, Nucleus			2255621	2	
bdg2hc	cis-beta-D-Glucosyl-2-hydroxycinnamate	C15H18O8	0	Cytosol	C05839	63-37-6	46608	2	
ga2_hs	GA2 (homo sapiens)	C38H69N2O17FULLRCO	0	Golgi Apparatus			2266532	2	
gt1alpha_hs	GT1aalpha (homo sapiens)	C77H127N5O46FULLRCO	-3	Golgi Apparatus			2266637	2	
ksi_pre17	keratan sulfate I biosynthesis, precursor 17	C157H252N11O127S5X	-6	Golgi Apparatus			2296832	2	
ksi_pre23	keratan sulfate I biosynthesis, precursor 23	C185H296N13O153S7X	-8	Golgi Apparatus			2296840	2	
ebastine	ebastine	C32H39NO2	0	Extra-organism, Cytosol, Endoplasmic Reticulum			2299759	2	
dmantipyrine	demethylated antipyrine	C10H10N2O	0	Extra-organism, Cytosol			2299979	2	
hs_pre15	heparan sulfate, precursor 15	C79H114N5O98S11X	-12	Golgi Apparatus			2303007	2	
hs_deg21	heparan sulfate, degradation product 21	C37H55NO38S2	-4	Lysosome			2303867	2	
5dhf	pentaglutamyl folate (DHF)	C39H43N11O18	-6	Extra-organism, Cytosol, Mitochondria, Lysosome			2304239	2	
7dhf	heptaglutamyl folate (DHF)	C49H55N13O24	-8	Extra-organism, Cytosol, Mitochondria, Lysosome			2304241	2	
asp-D	D-Aspartate	C4H6NO4	-1	Peroxisome, Extra-organism, Cytosol	C00402	1783-96-6	34874	2	
fald	Formaldehyde	CH2O	0	Peroxisome, Extra-organism, Cytosol, Periplasm, Mitochondria, Lysosome	C00067	50-00-0	33726	10,2,4,5,6,7,9	
srtn	Serotonin	C10H13N2O	1	Extra-organism, Cytosol	C00780	50-67-9	35982	2	
gchola	glycocholate	C26H43NO6	0	Peroxisome, Extra-organism, Cytosol	C01921	475-31-0	38691	2	
ggagicolipa	glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A	C163H281N2O89P4	-11	Cytosol			2375065	5	
gfgaragund	galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C83H135N1O27P2	-2	Cytosol			2377443	5	
sulfac	sulfoacetate	C2H2O5S	-2	Extra-organism, Cytosol, Periplasm	C14179		2380362	5	
thcholstoic	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	C27H45O5	-1	Peroxisome, Endoplasmic Reticulum, Mitochondria	C04722	33964-75-9	44407	2	
Rtotal2crn	R total 2 carnitine	CO2FULLR2C7H14NO2	0	Cytosol, Mitochondria			2392272	2	
Rtotal2coa	R total 2 coenzyme A	CO2FULLR2C21H31N7O15P3S	-4	Cytosol, Mitochondria			2386333	2	
cs_a_deg5	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5	C23H36O24S	-2	Lysosome			2415895	2	
cspg_b	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan	C45H65N2O48S4X	-6	Extra-organism, Golgi Apparatus, Lysosome			2301453	2	
ksii_core2_deg8	keratan sulfate II (core 2-linked), degradation product 8	C36H60N3O25X	0	Lysosome			2418063	2	
fucgalfucgalacglcgalgluside_hs	(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	C62H109N2O35FULLRCO	0	Extra-organism, Golgi Apparatus, Cytosol			2419338	2	
fucgalacgalfucgalacglcgal14acglcgalgluside_hs	(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1	C84H145N4O50FULLRCO	0	Golgi Apparatus			2419443	2	
acglcgalacglcgal14acglcgalgluside_hs	(Gal)3 (Glc)1 (GlcNAc)3 (Cer)1	C66H115N4O37FULLRCO	0	Golgi Apparatus			2419409	2	
pristcoa	pristanoyl coa	C40H68N7O17P3S	-4	Peroxisome, Cytosol			2364529	2	
tpalm2eACP	trans-Hexadec-2-enoyl-[acyl-carrier protein]	C27H49N2O8PRS	-1	Cytosol	C05763	7783-08-6	46448	4,5	
1hdecg3p	1-hexadecanoyl-sn-glycerol 3-phosphate	C19H37O7P1	-2	Cytosol, Periplasm	C00681		2617399	10,4,5	
cdpdhdec9eg	CDP-1,2-dihexadec-9-enoylglycerol	C44H75N3O15P2	-2	Cytosol	C00269		2617635	4,5	
cdpdodec11eg	CDP-1,2-dioctadec-11-enoylglycerol	C48H83N3O15P2	-2	Cytosol	C00269		2617640	4,5	
apg161	acyl phosphatidylglycerol (n-C16:1)	C54H98O11P	-1	Cytosol			2707900	5	
fucgalgbside_hs	fucosyl galactosylgloboside (homo sapiens)	C56H99N2O31FULLRCO	0	Extra-organism, Golgi Apparatus, Cytosol			2266521	2	
mercplaccys	3-mercaptolactate-cysteine disulfide	C6H10O5S2N	-1	Extra-organism, Cytosol			2742951	2	
m-xyl	m-Xylene	C8H10	0	Extra-organism, Cytosol, Periplasm			3462136	4	
4h2oxov	4-Hydroxy-2-oxovalerate	C5H7O4	-1	Cytosol			3462547	4	
nad	Nicotinamide adenine dinucleotide	C21H26N7O14P2	-1	Peroxisome, Extra-organism, Cytosol, Endoplasmic Reticulum, Nucleus, Mitochondria	C00003	53-84-9	33480	1,10,2,3,4,5,6,7,8,9	
qh2	Ubiquinol	C14H20O4	0	Cytosol	C00390		34840	10	
spmd	Spermidine	C7H22N3	3	Extra-organism, Cytosol, Periplasm	C00315	124-20-9	34593	1,10,2,3,4,5,6,7	
dcamp	N6-(1,2-Dicarboxyethyl)-AMP	C14H14N5O11P	-4	Cytosol	C03794		42544	1,10,2,3,4,5,6,7,9	
dhf	7,8-Dihydrofolate	C19H19N7O6	-2	Extra-organism, Cytosol, Mitochondria, Lysosome	C00415	4033-27-6	34911	1,10,2,3,4,5,6,7,9	
uppg1	Uroporphyrinogen I	C40H36N4O16	-8	Cytosol	C05766		46456	10,3,4,7	
trnaval	tRNA(Val)	R	0	Cytosol, Mitochondria	C01653		38088	4,5,6,9	
trnagly	tRNA(Gly)	R	0	Cytosol	C01642		38066	4,5,6,7,9	
lac-L	L-Lactate	C3H5O3	-1	Extra-organism, Cytosol, Periplasm, Mitochondria	C00186	79-33-4	34179	1,10,2,3,4,5,6,7,9	
lipidAds	Lipid A Disaccharide	C68H127N2O20P	-2	Cytosol	C04932		1438046	1,5	
20ahchsterol	20alpha-hydroxy cholesterol	C27H46O2	0	Mitochondria		516-72-3	1443018	2	
pmcoa	Pimeloyl-CoA	C28H41N7O19P3S	-5	Cytosol	C01063		36728	1,10,3,5,7,9	
4mzym	4-methylzymosterol	C28H46O	0	Cytosol	C05103	59865-13-3	45122	6	
4h2opntn	4-Hydroxy-2-oxopentanoate	C5H7O4	-1	Cytosol	C03589	111844-33-8	42143	1,10,4,5	
met-D	D-Methionine	C5H10NO2S	0	Extra-organism, Cytosol, Periplasm	C00855	348-67-4	36214	1,5	
h2mb4p	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	C5H9O8P2	-3	Cytosol	C11811		1446395	1,10,3,4,5	
4mzym_int1	4-Methylzymosterol intermediate 1	C29H46O3	0	Cytosol, Endoplasmic Reticulum			1454772	2,6	
tcynt	Thiocyanate	CNS	-1	Extra-organism, Cytosol, Periplasm, Mitochondria	C01755	463-56-9	38336	1,10,2,5	
6ax6ax	N-(6-Aminohexanoyl)-6-aminohexanoate	C12H24N2O3	0	Cytosol	C01255		1800355	9	
2a3pp	2-Amino-3-phosphonopropanoate	C3H6NO5P	-2	Cytosol	C05672	151-18-8	46249	7	
copre6	cobalt-precorrin 6	C44H45N4O16Co	-7	Cytosol	C11542		1838372	10,9	
3hcdgggp	CDP-2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol	C52H85N3O14P2	-2	Cytosol			1842309	9	
dpgpi	2,3-O-phytanyl-sn-glycero-1-phospho-myo-inositol	C49H98O11P1	-1	Cytosol			1842625	9	
n2m2nmasn	N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R	C58H96N5O40X	0	Extra-organism, Golgi Apparatus, Lysosome	C04946	74863-84-6	45018	2	
core7	Core 7	C16H27N2O10X	0	Golgi Apparatus			1886173	2	
