abbreviation	name	synonyms	equation	compartment	ecnumber	reversible	translocation	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
biomass_SA_3a	SA biomass 3 without ions		[c] : (0.42) 12dgr_EC + (1.27) 26dap-LL + (0.01) SA_FREE_FA + (0.38) acgam + (1.22) acgam1p + (6.6) ala-L + (3.11) amp + (3.88) arg-L + (4.48) asn-L + (4.48) asp-L + (20) atp + (2.51) clpn_EC + (2.2) cmp + (0.79) cys-L + (0.76) damp + (0.53) dcmp + (0.012068) dgdcg_SA + (0.6) dgmp + (0.73) dtmp + (0.23) gam1p + (0.38) glc-D + (5.3) glcp_SA + (8.72) gln-L + (9.68) glu-L + (3.51) gly + (4.01) gmp + (20) h2o + (1.45) his-L + (4.06) ile-L + (5.21) leu-L + (5.45) lys-L + (1.94) met-L + (0.01) pala_SA + (0.89) pe_EC + (2.31) pg_EC + (0.01) pgly_SA + (3.33) phe-L + (0.01) pleu_SA + (0.15) plys_SA + (2.12) pro-L + (2.6) ser-L + (2.86) tcam + (2.54) thr-L + (1.27) trp-L + (2.3) tyr-L + (1.78) uamr + (2.39) ump + (4.12) val-L --> (20) adp + (20) h + (20) pi	Cytosol		Irreversible	N	1836672	7	
ASPTAm	aspartate transaminase		[m] : akg + asp-L <==> glu-L + oaa	Mitochondria	2.6.1.1	Reversible	N	1442840	2,6	
FAOXC16080m	Beta oxidation of long chain fatty acid		[m] : (4) coa + (4) fad + (4) h2o + (4) nad + pmtcoa --> (4) accoa + (4) fadh2 + (4) h + (4) nadh + occoa	Mitochondria	1.3.99.3	Irreversible	N	2607983	2	
PGESr	Prostaglandin E synthase	Microsomal glutathione S-transferase 1-like 1, p53-induced apoptosis protein 12, MGST1-L1	[r] : prostgh2 <==> prostge2	Endoplasmic Reticulum	5.3.99.3	Reversible	N	2212316	2	
ARGSSr	argininosuccinate synthase, reversible		[c] : asp-L + atp + citr-L <==> amp + argsuc + h + ppi	Cytosol	6.3.4.5	Reversible	N	1445442	6,7	
FA161ACPtm	fatty-acyl-ACP mitochondrial transport		hdeACP[m] --> hdeACP[c]	Cytosol, Mitochondria		Irreversible	Y	1489023	6	
S6TASE5ly	N-acetylgalactosamine-6-sulfatase, lysosomal	galactose-6-sulfate sulfatase;, chondroitin sulfatase;, N-acetylgalactosamine 6-sulfatase, acetylgalactosamine 6-sulfatase;, chondroitinase;, N-acetylgalactosamine-6-sulfate sulfatase;, O,N-disulfate O-sulfohydrolase	[l] : cs_c_deg3 + h2o <==> cs_c_deg4 + h + so4	Lysosome	3.1.6.4	Reversible	N	2416124	2	
GLUVESSEC	L-glutamate secretion via secretory vesicle (ATP driven)		atp[c] + glu-L[c] + h2o[c] --> adp[c] + glu-L[e] + h[c] + pi[c]	Extra-organism, Cytosol		Irreversible	Y	2307010	2	
PIACGT	phosphatidylinositol N-acetylglucosaminyltransferase	UDP-N-acetyl-D-glucosamine:phosphatidylinositol N-acetyl-D-glucosaminyltransferase, uridine diphosphoacetylglucosamine alpha1,6-acetyl-D-glucosaminyltransferase	[c] : pail_hs + uacgam --> acgpail_hs + h + udp	Cytosol	2.4.1.198	Irreversible	N	2266552	2	
FATP2t	fatty acid electroneutral transport		na1[c] + ocdcea[c] <==> na1[e] + ocdcea[e]	Extra-organism, Cytosol		Reversible	Y	2327604	2	
ACNAM9PL2	N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)		[c] : h2o + man6p + pep --> kdnp + pi	Cytosol		Irreversible	N	2235488	2	
TXA2tr	thromboxane A2 intracellular transport		txa2[c] <==> txa2[r]	Endoplasmic Reticulum, Cytosol		Reversible	Y	2794941	2	
LPLIPAL1E120pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C12:0) (periplasm)		[p] : 1agpe120 + h2o --> ddca + g3pe + h	Periplasm	3.1.1.5	Irreversible	N	2733967	5	
DURIt	deoxyuridine transport via diffusion		duri[e] <==> duri[c]	Extra-organism, Cytosol		Reversible	Y	2220470	2	
FACOAL181t2pp	fatty-acid-CoA ligase (octadecenoate transport via vectoral Co-A coupling)		atp[c] + coa[c] + h[p] + ocdcea[p] --> amp[c] + h[c] + odecoa[c] + ppi[c]	Cytosol, Periplasm	6.2.1.3	Irreversible	Y	2254889	5	
S6T1g	galactose/N-acetylglucosamine 6-O-sulfotransferase, Golgi apparatus		[g] : ksii_core2_pre5 + paps --> h + ksii_core2_pre6 + pap	Golgi Apparatus		Irreversible	N	2296742	2	
SERGLYexR	L-Serine/Glycine reversible exchange		gly[c] + ser-L[e] <==> gly[e] + ser-L[c]	Extra-organism, Cytosol		Reversible	Y	2304971	2	
VACCt	fatty acid transport via diffusion		vacc[e] <==> vacc[c]	Extra-organism, Cytosol		Reversible	Y	2326495	2	
ALATRS	Alanyl-tRNA synthetase		[c] : ala-L + atp + trnaala --> alatrna + amp + ppi	Cytosol	6.1.1.7	Irreversible	N	227908	10,4,5,6,7,9	
CYSDS	Cysteine Desulfhydrase		[c] : cys-L + h2o --> h2s + nh4 + pyr	Cytosol	4.1.99.1	Irreversible	N	1440689	1,5,9	
XAOx	xanthine  oxidase,peroxisomal		[x] : h2o + o2 + xan --> h2o2 + urate	Peroxisome		Irreversible	N	2321142	2	
ARACHCRNt	transport into the mitochondria (carnitine)		arachcrn[c] --> arachcrn[m]	Cytosol, Mitochondria		Irreversible	Y	2614526	2	
PGSA161	Phosphatidylglycerol synthase (n-C16:1)		[c] : cdpdhdec9eg + glyc3p --> cmp + h + pgp161	Cytosol	2.7.8.5	Irreversible	N	2617818	4,5	
MANtly	mannose efflux from lysosome		man[l] --> man[c]	Cytosol, Lysosome		Irreversible	Y	2422867	2	
GDPtn	GDP nuclear transport		gdp[c] <==> gdp[n]	Nucleus, Cytosol		Reversible	Y	1471784	6	
MYCON2	Mycolic Acid Condensation	polyketide synthase	[c] : chexccoa + (2) h2o + mmeroacidcyc2AMP --> amp + co2 + coa + (2) h + mmycolate	Cytosol		Irreversible	N	2242317	10	
CLPNS_HP	Cardiolipin Synthase (Hpi)		[c] : (2) pg_HP <==> clpn_HP + glyc	Cytosol		Reversible	N	1757285	3	
3HAD141	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	beta-hydroxyacyl-acyl carrier protein dehydratases	[c] : 3hcmrs7eACP --> h2o + t3c7mrseACP	Cytosol	4.2.1.61	Irreversible	N	2617169	4,5	
CYSASNNaEx	L-cysteine/L-asparagine Na-dependent exchange (Cys-L in)		asn-L[c] + cys-L[e] + na1[e] --> asn-L[e] + cys-L[c] + na1[c]	Extra-organism, Cytosol		Irreversible	Y	2305781	2	
FUT98g	Alpha-(1,3)-fucosyltransferase	FUCT-IX, Galactoside 3-L-fucosyltransferase, Fucosyltransferase 9	[g] : galacglcgal14acglcgalgluside_hs + gdpfuc --> fuc13galacglcgal14acglcgalgluside_hs + gdp + h	Golgi Apparatus	2.4.1.152	Irreversible	N	2420237	2	
SO4ti	sulfate irreversible uniport		so4[e] --> so4[c]	Extra-organism, Cytosol		Irreversible	Y	1447011	6	
LIMNENte	xenobiotic transport		limnen[e] <==> limnen[c]	Extra-organism, Cytosol		Reversible	Y	2735354	2	
DESAT18_3	stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA)	Fatty acid desaturase	[c] : h + nadh + o2 + stcoa --> (2) h2o + nad + odecoa	Cytosol	1.14.19.1	Irreversible	N	2219461	2	
FATP8t	fatty acid electroneutral transport		lgnc[c] + na1[c] <==> lgnc[e] + na1[e]	Extra-organism, Cytosol		Reversible	Y	2327639	2	
CYTK1	cytidylate kinase (CMP)		[c] : atp + cmp <==> adp + cdp	Cytosol	2.7.4.14	Reversible	N	144320	1,10,2,3,4,5,6,7,9	
GLYALDt	Glyceraldehyde facilitated diffusion		glyald[e] <==> glyald[c]	Extra-organism, Cytosol		Reversible	Y	1451170	1,7,9	
PYDXO	pyridoxal oxidase		[c] : (2) h2o + nh4 + (0.5) o2 + pydx <==> (2) h2o2 + pydam	Cytosol	1.4.3.5	Reversible	N	1448817	10,6	
ALAt4pp	L-alanine transport in via sodium symport (periplasm)		ala-L[p] + na1[p] --> ala-L[c] + na1[c]	Cytosol, Periplasm		Irreversible	Y	3241198	5	
PHAPC140	Poly-(3-hydroxyalkanoate) polymerase		[c] : R-3hmrscoa + mclPHAg --> C140mclPHA + coa	Cytosol		Irreversible	N	3461905	4	
CKc	ATP Creatine kinase (c)		[c] : atp + creat <==> adp + pcreat	Cytosol	2.7.3.2	Reversible	N	2207128	2	
HSDyi	homoserine dehydrogenase (NADP), irreversible		[c] : aspsa + h + nadph --> hom-L + nadp	Cytosol	1.1.1.3	Irreversible	N	1444016	6	
SPHMYLNtl	sphingomyelin intracellular transport		sphmyln_hs[c] <==> sphmyln_hs[l]	Cytosol, Lysosome		Reversible	Y	2734618	2	
GLNtex	L-glutamine transport via diffusion (extracellular to periplasm)		gln-L[e] <==> gln-L[p]	Extra-organism, Periplasm		Reversible	Y	1915886	5	
UDPDPS	undecaprenyl-diphosphate synthase		[c] : decdp + ipdp --> ppi + udcpdp	Cytosol	2.5.1.31	Irreversible	N	1788302	10,7	
DHAD1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)		[c] : 23dhmb --> 3mob + h2o	Cytosol	4.2.1.9	Irreversible	N	139476	1,10,4,5,7,9	
GP4GH	Gp4G hydrolase		[c] : gp4g + h2o --> (2) gdp + (2) h	Cytosol		Irreversible	N	1484788	1,5	
MCOATAm	Malonyl-CoA-ACP transacylase, mitochondrial		[m] : ACP + malcoa <==> coa + malACP	Mitochondria	2.3.1.39	Reversible	N	1512628	2,6	
HACD3i	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)		[c] : 3hocoa + nad --> 3oocoa + h + nadh	Cytosol	1.1.1.35	Irreversible	N	1723952	4,5	
RBPI	ribose 1,5-bisphosphate isomerase		[c] : r15bp --> rb15bp	Cytosol		Irreversible	N	1886316	9	
DPGase	Diphosphoglycerate phosphatase	2,3-diphosphoglycerate phosphatase	[c] : 23dpg + h2o --> 3pg + pi	Cytosol	3.1.3.13	Irreversible	N	1315516	2,9	
CYTK10	cytidylate kinase (CMP,dGTP)		[c] : cmp + dgtp <==> cdp + dgdp	Cytosol	2.7.4.14	Reversible	N	2218698	2	
EAR100x	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)	NADH-specific enoyl-ACP reductase;, enoyl-[acyl-carrier-protein] reductase (NADH2), NADH-enoyl acyl carrier protein reductase;, enoyl-ACP reductase;, enoyl-[acyl carrier protein] reductase;	[c] : h + nadh + tdec2eACP --> dcaACP + nad	Cytosol	1.3.1.9	Irreversible	N	2616315	5	
EBASTINEte	xenobiotic transport		ebastine[e] <==> ebastine[c]	Extra-organism, Cytosol		Reversible	Y	2704681	2	
FCLT	Ferrochelatase		[c] : fe2 + ppp9 --> (2) h + pheme	Cytosol	4.99.1.1	Irreversible	N	1436442	1,10,3,4,5,7	
ASPO6 [deleted 07/26/2004  03:17:52 PM]	L-aspartate oxidase		[c] : asp-L + o2 --> h2o2 + iasp	Cytosol		Irreversible	N	1455462	1	
NACHEX11ly	beta-N-acetylhexosaminidase, lysosomal	beta-N-acetyl-D-hexosaminidase;, beta-acetylaminodeoxyhexosidase;, beta-D-hexosaminidase, N-acetylhexosaminidase;, hexosaminidase;, beta-N-acetylglucosaminidase;, beta-D-N-acetylhexosaminidase;, hexosaminidase A;, N-acetyl-beta-hexosaminidase;, beta-acetylhexosaminidinase;, beta-hexosaminidase;, N-acetyl-beta-D-hexosaminidase;	[l] : h2o + ksi_deg10 --> acgam + ksi_deg11	Lysosome	3.2.1.52	Irreversible	N	2709057	2	
PROt2rpp	L-proline reversible transport via proton symport (periplasm)		h[p] + pro-L[p] <==> h[c] + pro-L[c]	Cytosol, Periplasm		Reversible	Y	1912690	5	
CRNDt2rpp	D-carnitine outward transport (H+ antiport)		crn-D[p] + h[p] <==> crn-D[c] + h[c]	Cytosol, Periplasm		Reversible	Y	2386161	5	
DOLP_Uter	dolichol phosphate flippase (uterus)		(0.1) dolp_U[r] --> (0.1) dolp_U[c]	Endoplasmic Reticulum, Cytosol		Irreversible	Y	1809318	2	
S4TASE3ly	N-acetylgalactosamine-4-sulfatase, lysosomal	N-acetylgalactosamine 4-sulfate sulfohydrolase, chondroitinsulfatase;, chondroitinase;, arylsulfatase B;, acetylgalactosamine 4-sulfatase;	[l] : cs_b + h2o <==> cs_b_deg1 + h + so4	Lysosome	3.1.6.12	Reversible	N	2415990	2	
Kt3pp	potassium transport out via proton antiport (periplasm)		h[p] + k[c] --> h[c] + k[p]	Cytosol, Periplasm		Irreversible	Y	2388839	5	
ECOAH7p	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA), peroxisomal		[x] : 3hhdcoa <==> h2o + hdd2coa	Peroxisome	4.2.1.17	Reversible	N	1452116	6	
TYRt2rpp	L-tyrosine reversible transport via proton symport (periplasm)		h[p] + tyr-L[p] <==> h[c] + tyr-L[c]	Cytosol, Periplasm		Reversible	Y	1912861	4,5	
PROTRS	Prolyl-tRNA synthetase		[c] : atp + pro-L + trnapro --> amp + ppi + protrna	Cytosol	6.1.1.15	Irreversible	N	227810	4,5,6,9	
CHLabc	choline transport via ABC system		atp[c] + chol[e] + h2o[c] --> adp[c] + chol[c] + h[c] + pi[c]	Extra-organism, Cytosol		Irreversible	Y	217308	1,10,7	
Kabc	Potassium ABC transporter		atp[c] + h2o[c] + k[e] --> adp[c] + h[c] + k[c] + pi[c]	Extra-organism, Cytosol		Irreversible	Y	1449567	1,10,7	
DMATTx	dimethylallyltranstransferase		[x] : dmpp + ipdp --> grdp + ppi	Peroxisome	2.5.1.1	Irreversible	N	2207418	2	
R05219	Precorrin 5 <=> Precorrin 6X		[c] : amet + h2o + pre5 --> ac + ahcys + h + pre6a	Cytosol		Irreversible	N	1817414	10,4	
MNt2	manganese transport in via proton symport		h[e] + mn2[e] --> h[c] + mn2[c]	Extra-organism, Cytosol		Irreversible	Y	223963	7	
CBL1tonex	Cob(1)alamin transport via ton system (extermal)		cbl1[e] + h[p] --> cbl1[p] + h[c]	Extra-organism, Cytosol, Periplasm		Irreversible	Y	1915732	5	
FASm240	fatty acid synthase - di-methyl lignoceric acid		[c] : (3) h + mbhn + mmcoa-S + (2) nadph --> co2 + coa + dmlgnc + h2o + (2) nadp	Cytosol		Irreversible	N	3063982	10	
TAURtcx	taurine transport (sodium symport) (cytosol to peroxisome)		na1[c] + taur[c] <==> na1[x] + taur[x]	Peroxisome, Cytosol		Reversible	Y	2299200	2	
ACMAMUT	UDP-N-acetyl-D-mannosaminuronic acid transferase		[c] : uacmamu + unaga --> h + udp + unagamu	Cytosol		Irreversible	N	1483703	1,5	
PAPA161	Phosphatidate phosphatase (n-C16:1)	phosphatic acid phosphatase;, phosphatic acid phosphohydrolase, acid phosphatidyl phosphatase;, phosphatidate phosphatase;	[c] : h2o + pa161 --> 12dgr161 + pi	Cytosol	3.1.3.4	Irreversible	N	2634383	5	
ASPO4	L-aspartate oxidase		[c] : asp-L + mqn8 --> h + iasp + mql8	Cytosol		Irreversible	N	1831965	5	
P4507A1r	cytochrome P450, family 7, subfamily A, polypeptide 1	cytochrome P450, family 7, subfamily A, polypeptide 1, CP7A, CYP7, cholesterol 7 alpha-monooxygenase, cytochrome P450, subfamily VIIA (cholesterol 7 alpha-monooxygenase), polypeptide 1, Cytochrome P450 7A1 (Cholesterol 7-alpha-monooxygenase), cholesterol 7-alpha-hydroxylase	[r] : chsterol + h + nadph + o2 --> h2o + nadp + xol7a	Endoplasmic Reticulum	1.14.13.17	Irreversible	N	2197444	2	
MDHy	malate dehydrogenase (NADP+)		[c] : mal-L + nadp <==> h + nadph + oaa	Cytosol		Reversible	N	1885245	9	
HXANtx	hypoxanthine diffusion in peroxisome		hxan[c] --> hxan[x]	Peroxisome, Cytosol		Irreversible	Y	2391335	2	
SKMt2pp	shikimate transport in via proton symport (periplasm)		h[p] + skm[p] --> h[c] + skm[c]	Cytosol, Periplasm		Irreversible	Y	2390892	5	
GLNtm	L-glutamine transport via electroneutral transporter		gln-L[c] --> gln-L[m]	Cytosol, Mitochondria		Irreversible	Y	2308552	2	
CS	citrate synthase		[c] : accoa + h2o + oaa --> cit + coa + h	Cytosol		Irreversible	N	135220	1,10,3,4,5,7,8,9	
MM8Ber	mannosyl-oligosaccharide 1,2-alpha-mannosidase, endoplasmic reticulum	Man9-mannosidase, 1,2-alpha-mannosidase, mannosidase 1B, glycoprotein processing mannosidase I, exo-alpha-1,2-mannanase, mannose-9 processing alpha-mannosidase, mannosidase 1A, mannosidase I	[r] : h2o + m8masn --> m7masnB + man	Endoplasmic Reticulum	3.2.1.113	Irreversible	N	1822903	2	
GAO1	Ganglioside O-acetylation	solute carrier family 33 (acetyl-CoA transporter), member 1	[c] : accoa + gd3_hs --> coa + oagd3_hs	Cytosol		Irreversible	N	2290026	2	
GLCAE1g	chondroitin-glucuronate 5-epimerase	dermatan-sulfate 5-epimerase, chondroitin D-glucuronosyl 5-epimerase, urunosyl C-5 epimerase, polyglucuronate 5-epimerase	[g] : cs_a,b_pre3 --> cs_b_pre4	Golgi Apparatus	5.1.3.19	Irreversible	N	2301966	2	
2AMADPTm	L-2-aminoadipate shuttle (cytosol/mitochondria)		L2aadp[c] + akg[m] <==> L2aadp[m] + akg[c]	Cytosol, Mitochondria		Reversible	Y	2288754	2	
ALLTNr	allantoinase, reversible reaction		[c] : alltn + h2o <==> alltt + h	Cytosol	3.5.2.5	Reversible	N	1442388	6	
DKFPR	6-deoxy-5-ketofructose 1-phosphate reductase		[c] : dkfp + h + nadh <==> dkmp + nad	Cytosol		Reversible	N	1898626	9	
ESTSULT	Estrogen sulfotransferase	Sulfotransferase, estrogen-preferring, EST-1	[c] : estrone + paps --> estrones + h + pap	Cytosol	2.8.2.4	Irreversible	N	2320992	2	
NACHEX27ly	beta-N-acetylhexosaminidase, lysosomal	beta-N-acetyl-D-hexosaminidase;, beta-D-hexosaminidase, beta-acetylaminodeoxyhexosidase;, N-acetylhexosaminidase;, beta-N-acetylglucosaminidase;, hexosaminidase;, beta-D-N-acetylhexosaminidase;, N-acetyl-beta-hexosaminidase;, hexosaminidase A;, beta-acetylhexosaminidinase;, beta-hexosaminidase;, N-acetyl-beta-D-hexosaminidase;	[l] : h2o + ha_deg1 --> acgam + ha_pre1	Lysosome	3.2.1.52	Irreversible	N	2422918	2	
25HVITD2tm	25-hydroxyvitamin D2 transport from mitochondria		25hvitd2[m] --> 25hvitd2[c]	Cytosol, Mitochondria		Irreversible	Y	2290250	2	
G3PAT141	glycerol-3-phosphate acyltransferase (C14:1)		[c] : glyc3p + tdeACP --> 1tdec7eg3p + ACP	Cytosol	2.3.1.15	Irreversible	N	2617460	5	
ARTFR209	R group artificial flux		adrncoa[c] + (2) fadh2[m] + (2) h[m] + (2) nadph[m] --> (1.375) R2coa_hs[c] + (2) fad[m] + (2) nadp[m]	Cytosol, Mitochondria		Irreversible	Y	2414818	2	
THFGLUS	Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)	tetrahydrofolylpolyglutamate s	[c] : atp + glu-L + thf <==> adp + h + pi + thfglu	Cytosol	6.3.2.17	Reversible	N	1553314	10,6,7	
HTAXOLte	xenobiotic transport		htaxol[e] <==> htaxol[c]	Extra-organism, Cytosol		Reversible	Y	2704666	2	
OCCOAtx	fatty acid intracellular transport		occoa[c] <==> occoa[x]	Peroxisome, Cytosol		Reversible	Y	2614230	2	
ETOHt2rpp	ethanol reversible transport via proton symport (periplasm)		etoh[p] + h[p] <==> etoh[c] + h[c]	Cytosol, Periplasm		Reversible	Y	1914419	5	
PROSTGE1t3	prostaglandine E1 transport (ATP-dependent)		atp[c] + h2o[c] + prostge1[c] --> adp[c] + h[c] + pi[c] + prostge1[e]	Extra-organism, Cytosol		Irreversible	Y	2328528	2	
AADDGT	dTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase		[c] : dtdp4aaddg + unagamu --> dtdp + h + unagamuf	Cytosol		Irreversible	N	1483745	1,5	
GLYC3Pt6	Glycerol-3-phosphate : phosphate antiporter		glyc3p[e] + pi[c] --> glyc3p[c] + pi[e]	Extra-organism, Cytosol		Irreversible	Y	1452270	1,7	
FPGS3	folylpolyglutamate synthetase		[c] : 6thf + atp + glu-L --> 7thf + adp + h + pi	Cytosol	6.3.2.17	Irreversible	N	2304206	2	
GDPtex	GDP transport via diffusion (extracellular to periplasm)		gdp[e] <==> gdp[p]	Extra-organism, Periplasm		Reversible	Y	1915257	5	
FPGS	folylpolyglutamate synthetase		[c] : (4) atp + (4) glu-L + thf --> 5thf + (4) adp + (4) h + (4) pi	Cytosol	6.3.2.17	Irreversible	N	2304188	2	
GMPS	GMP synthase		[c] : atp + nh4 + xmp --> amp + gmp + (2) h + ppi	Cytosol	6.3.4.1	Irreversible	N	1553427	9	
3SALATAi	3-sulfino-alanine transaminase (irreversible)		[c] : 3sala + akg + h --> 3snpyr + glu-L	Cytosol		Irreversible	N	2418789	2	
SIAASEly	sialidase, lysosomal	acetylneuraminidase, neuraminidase, exo-alpha-sialidase, alpha-neuraminidase	[l] : (2) h2o + s2l2n2m2mn --> (2) acnam + l2n2m2mn	Lysosome	3.2.1.18	Irreversible	N	1884976	2	
PRPPtm	PRPP reversible transport, mitochondrial		prpp[c] <==> prpp[m]	Cytosol, Mitochondria		Reversible	Y	1446810	6	
VALt2m	Valine reversible mitochondrial transport via proton symport		h[c] + val-L[c] <==> h[m] + val-L[m]	Cytosol, Mitochondria		Reversible	Y	1457871	6	
CYSabc	L-cysteine transport via ABC system		atp[c] + cys-L[e] + h2o[c] --> adp[c] + cys-L[c] + h[c] + pi[c]	Extra-organism, Cytosol		Irreversible	Y	217542	1,3,7	
4OD	4-oxalocrotonate decarboxylase		[c] : h + oxalc --> co2 + op4en	Cytosol		Irreversible	N	3461777	4	
SALMCOM	S-Adenosyl-L-methionine:catechol O-methyltransferase		[c] : amet + nrpphr --> ahcys + h + normete-L	Cytosol	2.1.1.6	Irreversible	N	2321497	2	
GLCPcom_SA	Glucosyl Phosphoglycerol Combination (SA)		[c] : (2) gtca1 + (2) gtca2 + (2) gtca3 --> glcp_SA	Cytosol		Irreversible	N	1788657	7	
AHMMPS	4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase		[c] : air + (2) h --> 4ahmmp + gcald + pi	Cytosol		Irreversible	N	245824	10,6,9	
CGMPt	cGMP transport (ATP-dependent)		35cgmp[c] + atp[c] + h2o[c] --> 35cgmp[e] + adp[c] + h[c] + pi[c]	Extra-organism, Cytosol		Irreversible	Y	2328483	2	
ATPtn	ATP diffusion in nucleus		atp[c] <==> atp[n]	Nucleus, Cytosol		Reversible	Y	2391693	2	
NCCt	Na+-Cl- cotransport		cl[e] + na1[e] --> cl[c] + na1[c]	Extra-organism, Cytosol		Irreversible	Y	2363913	2	
NACHEX22ly	beta-N-acetylhexosaminidase, lysosomal	beta-N-acetyl-D-hexosaminidase;, beta-D-hexosaminidase, beta-acetylaminodeoxyhexosidase;, N-acetylhexosaminidase;, beta-N-acetylglucosaminidase;, hexosaminidase;, beta-acetylhexosaminidinase;, N-acetyl-beta-hexosaminidase;, beta-D-N-acetylhexosaminidase;, hexosaminidase A;, beta-hexosaminidase;, N-acetyl-beta-D-hexosaminidase;	[l] : h2o + ksi_deg41 --> acgam + m2mn	Lysosome	3.2.1.52	Irreversible	N	2709291	2	
INSt	Inosine transport (diffusion)		ins[e] <==> ins[c]	Extra-organism, Cytosol		Reversible	Y	1491142	2	
POR3	pyruvate synthase	alpha-ketobutyrate-ferredoxin, 2-ketobutyrate synthase;, 2-oxobutyrate-ferredoxin oxido, alpha-ketobutyrate synthase;, 2-oxobutyrate synthase;, 2-oxobutanoate:ferredoxin 2-ox	[c] : 2obut + coa + (2) fdox <==> co2 + (2) fdred + h + ppcoa	Cytosol	1.2.7.2	Reversible	N	1800874	9	
DIAT	diamine transaminase		[c] : accoa + sprm --> N1sprm + coa + h	Cytosol	2.6.1.29	Irreversible	N	1529893	6	
B3GNT11g	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 7, Beta3Gn-T1, Beta-1,3-GalTase 7, UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1, b3Gal-T7, Beta-1,3-galactosyltransferase 7, BGnT-1, Beta3Gal-T7, UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 7, Beta-3-Gx-T7	[g] : gal14acglcgalgluside_hs + uacgam --> acglcgal14acglcgalgluside_hs + h + udp	Golgi Apparatus		Irreversible	N	2419767	2	
AHANDROSTANGLCtr	glucuronidated compound transport		ahandrostanglc[c] <==> ahandrostanglc[r]	Endoplasmic Reticulum, Cytosol		Reversible	Y	2705085	2	
3UMPtex	3UMP transport via diffusion (extracellular to periplasm)		3ump[e] <==> 3ump[p]	Extra-organism, Periplasm		Reversible	Y	2326112	5	
PROD2	Proline dehydrogenase		[c] : fad + pro-L --> 1pyr5c + fadh2 + h	Cytosol	1.5.99.8	Irreversible	N	1530044	1,10,2,3,4,5,7	
HICITDm	homoisocitrate dehydrogenase		[m] : hicit + nad <==> h + nadh + oxag	Mitochondria	1.1.1.155	Reversible	N	1512548	6	
UDCPKr	undecaprenol kinase (reversible)		[c] : atp + udcp <==> adp + h + udcpp	Cytosol	2.7.1.66	Reversible	N	1788610	7	
ARTFR53	R group artificial flux		eicostetcoa[c] + (2) fadh2[m] + (2) h[m] + (2) nadph[m] --> (1.25) R5coa_hs[c] + (2) fad[m] + (2) nadp[m]	Cytosol, Mitochondria		Irreversible	Y	2414966	2	
UDPACGLP	UDP-N-acetylglucosamine diphosphorylase		[c] : acgam1p + h + utp <==> ppi + udpacgal	Cytosol	2.7.7.23	Reversible	N	1532040	6	
AGMt2pp	GlcNAc-anhMurNAc transport in via proton symport (periplasm)		anhgm[p] + h[p] --> anhgm[c] + h[c]	Cytosol, Periplasm		Irreversible	Y	2328626	5	
AMACRr	alpha-methylacyl-CoA racemase		[r] : cholcoar --> cholcoas	Endoplasmic Reticulum	5.1.99.4	Irreversible	N	2205760	2	
ARGtiDF	L-arginine transport via diffusion (extracellular to cytosol)		arg-L[e] --> arg-L[c]	Extra-organism, Cytosol		Irreversible	Y	2303258	2	
BMNMSHS	conjugated mycothiol synthesis		[c] : bmn + msh --> bmnmsh + (2) h	Cytosol		Irreversible	N	3134796	10	
GGLGH	Galactosylglycerol galactohydrolase		[c] : ggl + h2o <==> gal + glyc	Cytosol	3.2.1.22	Reversible	N	1440203	6	
NDP7er	nucleoside-diphosphatase (UDP), endoplasmic reticulum		[r] : h2o + udp --> h + pi + ump	Endoplasmic Reticulum	3.6.1.6	Irreversible	N	2456331	2	
CF3Sg	coenzyme F390 synthetase (GTP)		[c] : f420-2 + gtp --> f390g + ppi	Cytosol		Irreversible	N	1851150	9	
AGMH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl hydrolase	[c] : anhgm + h2o --> acgam + anhm	Cytosol		Irreversible	N	2328698	5	
Uritl	uridine facilated transport from lysosome		uri[l] <==> uri[c]	Cytosol, Lysosome		Reversible	Y	2327798	2	
